Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,X,19.0,13.9,16.7,17,384
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,4.0,6,M6,X,14.5,11.3,13.1,22,301
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.7,11.5,13.3,21,306
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,15.3,12.3,14.0,20,322
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.0,6,AS5,X,14.8,11.8,13.5,21,310
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,15.9,12.3,14.3,20,329
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,17.6,12.9,15.5,18,356
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,16.9,12.8,15.1,19,347
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,18.1,13.9,16.2,17,373
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359
ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Z,16.8,10.9,14.2,20,327
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,AM7,Z,19.5,12.8,16.5,17,379
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356
ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12,A8,Z,17.6,11.4,14.8,19,340
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,17.8,10.8,14.6,19,344
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.2,11.0,13.3,21,306
AUDI,R8,TWO-SEATER,4.2,8,AM7,Z,17.3,10.4,14.2,20,327
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,16.6,17,382
AUDI,R8,TWO-SEATER,5.2,10,AM7,Z,18.2,10.6,14.8,19,347
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,19.9,12.0,16.4,17,377
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,AM7,Z,17.3,10.4,14.2,20,327
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,16.6,17,382
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,AM7,Z,18.2,10.6,14.8,19,347
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,19.9,12.0,16.4,17,377
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,16.6,9.4,13.3,21,313
BENTLEY,CONTINENTAL GT,COMPACT,4.0,8,AS8,Z,16.1,9.4,13.1,22,307
BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS8,Z,18.9,11.2,15.4,18,354
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8,AS8,Z,17.7,10.3,14.4,20,337
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,19.6,11.7,16.0,18,368
BENTLEY,CONTINENTAL GT3-R,TWO-SEATER,4.0,8,AS8,Z,17.6,10.1,14.2,20,327
BENTLEY,FLYING SPUR,MID-SIZE,4.0,8,AS8,Z,17.7,10.0,14.2,20,334
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,13.3,18.2,16,419
BMW,760Li SEDAN,FULL-SIZE,6.0,12,AS8,Z,18.7,11.6,15.5,18,356
BMW,M5 SEDAN,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M5 SEDAN,MID-SIZE,4.4,8,M6,Z,16.1,10.8,13.7,21,315
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315
BMW,M6 COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M6 COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.1,10.8,13.7,21,315
BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,336
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,16.1,10.9,13.8,20,317
BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,336
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,16.1,10.9,13.8,20,317
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A6,Z,16.2,11.4,14.0,20,322
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A8,Z,15.9,11.1,13.8,20,317
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A6,Z,16.8,11.7,14.5,19,334
CADILLAC,ESCALADE ESV 4WD,SUV - STANDARD,6.2,8,A8,Z,16.4,11.7,14.3,20,329
CHEVROLET,CAMARO Z/28,COMPACT,6.2,8,M6,Z,18.1,12.3,15.5,18,357
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,19.9,13.0,16.8,17,386
CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.6,12.4,14.7,19,338
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,14.3,20,329
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,M7,Z,15.7,10.6,13.4,21,308
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.0,14.2,18.0,16,414
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432
CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432
CHEVROLET,EXPRESS 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.3,20.5,25.9,11,414
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.1,16,416
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437
CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437
CHEVROLET,EXPRESS 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.6,20.6,26.1,11,418
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.1,11.4,14.0,20,322
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.3,11.6,14.2,20,327
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,X,15.4,10.8,13.3,21,306
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306
DODGE,CHALLENGER,MID-SIZE,5.7,8,M6,X,15.6,10.0,13.1,22,301
DODGE,CHALLENGER,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320
DODGE,CHALLENGER SRT,MID-SIZE,6.4,8,M6,Z,16.8,10.4,13.9,20,320
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8,A8,Z,18.0,10.7,14.7,19,338
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,347
DODGE,CHARGER AWD (MDS),FULL-SIZE,5.7,8,A5,X,16.1,10.0,13.4,21,308
DODGE,CHARGER SRT HELLCAT,FULL-SIZE,6.2,8,A8,Z,18.0,10.7,14.7,19,338
DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,11.5,14.7,19,338
DODGE,VIPER SRT COUPE,TWO-SEATER,8.4,10,M6,Z,19.4,11.3,15.8,18,363
FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6,AS6,X,16.2,11.8,14.2,20,327
FORD,EXPEDITION MAX 4X4,SUV - STANDARD,3.5,6,AS6,X,16.4,12.0,14.4,20,331
FORD,F-150 FFV,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,15.5,10.6,13.3,21,306
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.0,11.3,13.9,20,320
FORD,T-150 WAGON,VAN - PASSENGER,3.5,6,AS6,X,16.6,12.5,14.7,19,338
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS6,X,16.6,12.6,14.8,19,340
FORD,T-150 WAGON FFV,VAN - PASSENGER,3.7,6,AS6,E,22.1,16.7,19.7,14,315
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.0,14.2,18.0,16,414
GMC,SAVANA 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432
GMC,SAVANA 2500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.3,20.5,25.9,11,414
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,4.8,8,A6,X,21.3,14.3,18.1,16,416
GMC,SAVANA 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,X,22.2,15.1,19.0,15,437
GMC,SAVANA 3500 PASSENGER FFV,VAN - PASSENGER,6.0,8,A6,E,30.6,20.6,26.1,11,418
GMC,SIERRA,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.1,11.4,14.0,20,322
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.3,11.6,14.2,20,327
GMC,YUKON DENALI 4WD,SUV - STANDARD,6.2,8,A6,Z,16.2,11.4,14.0,20,322
GMC,YUKON DENALI 4WD,SUV - STANDARD,6.2,8,A8,Z,15.9,11.1,13.8,20,317
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,X,15.4,10.8,13.3,21,306
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306
GMC,YUKON XL DENALI 4WD,SUV - STANDARD,6.2,8,A6,Z,16.8,11.7,14.5,19,334
GMC,YUKON XL DENALI 4WD,SUV - STANDARD,6.2,8,A8,Z,16.4,11.7,14.3,20,329
HYUNDAI,EQUUS,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
HYUNDAI,GENESIS AWD,FULL-SIZE,5.0,8,AS8,Z,17.3,10.5,14.2,20,327
INFINITI,QX80 4WD,SUV - STANDARD,5.6,8,AS7,Z,16.9,11.9,14.7,19,338
JAGUAR,XFR,MID-SIZE,5.0,8,AS8,Z,15.7,10.3,13.2,21,304
JAGUAR,XFR-S,MID-SIZE,5.0,8,AS8,Z,15.7,10.3,13.2,21,304
JAGUAR,XJ SUPERCHARGED,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJL SUPERCHARGED,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJR,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XJR LWB,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8,AS6,Z,15.9,10.9,13.6,21,313
JAGUAR,XKR COUPE,MINICOMPACT,5.0,8,AS6,Z,15.6,10.9,13.4,21,308
JAGUAR,XKR-S CONVERTIBLE,MINICOMPACT,5.0,8,AS6,Z,15.9,10.9,13.6,21,313
JAGUAR,XKR-S COUPE,MINICOMPACT,5.0,8,AS6,Z,15.6,10.9,13.4,21,308
JEEP,GRAND CHEROKEE 4X4 (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,11.5,14.7,19,338
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),SUV - STANDARD,6.4,8,A8,Z,18.5,12.6,15.8,18,363
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,A5,X,14.8,11.7,13.4,21,308
JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,M6,X,15.0,11.4,13.4,21,308
KIA,K900,FULL-SIZE,5.0,8,AS8,Z,15.7,10.3,13.3,21,306
LAMBORGHINI,AVENTADOR COUPE,TWO-SEATER,6.5,12,AM7,Z,22.2,12.7,17.9,16,412
LAMBORGHINI,AVENTADOR ROADSTER,TWO-SEATER,6.5,12,AM7,Z,24.0,14.5,19.7,14,453
LAMBORGHINI,HURACAN,TWO-SEATER,5.2,10,AM7,Z,16.8,11.7,14.5,19,334
LAMBORGHINI,VENENO ROADSTER,TWO-SEATER,6.5,12,AM7,Z,22.1,13.9,18.4,15,423
LAND ROVER,LR4,SUV - STANDARD,3.0,6,AS8,Z,16.2,12.1,14.3,20,329
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8,AS8,Z,17.2,12.5,15.1,19,347
LAND ROVER,RANGE ROVER SUPERCHARGED,SUV - STANDARD,5.0,8,AS8,E,25.0,16.9,21.4,13,342
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5.0,8,AS8,Z,17.2,12.5,15.1,19,347
LAND ROVER,RANGE ROVER SUPERCHARGED LWB,SUV - STANDARD,5.0,8,AS8,E,25.0,16.9,21.4,13,342
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5.0,8,AS8,Z,16.6,12.3,14.7,19,338
LAND ROVER,RANGE ROVER SPORT SUPERCHARGED,SUV - STANDARD,5.0,8,AS8,E,24.0,16.6,20.7,14,331
LEXUS,GX 460,SUV - STANDARD,4.6,8,AS6,Z,15.7,11.7,13.9,20,320
LEXUS,LX 570,SUV - STANDARD,5.7,8,AS6,Z,19.0,13.6,16.6,17,382
LINCOLN,NAVIGATOR 4X4,SUV - STANDARD,3.5,6,AS6,X,16.2,11.8,14.2,20,327
LINCOLN,NAVIGATOR L 4X4,SUV - STANDARD,3.5,6,AS6,X,16.1,12.3,14.4,20,331
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,347
MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2,19,350
MASERATI,QUATTROPORTE GTS,FULL-SIZE,3.8,8,AS8,Z,17.5,10.7,14.5,19,334
MERCEDES-BENZ,C 63 AMG COUPE,SUBCOMPACT,6.2,8,AS7,Z,17.9,12.3,15.4,18,354
MERCEDES-BENZ,CLS 63 AMG 4MATIC,COMPACT,5.5,8,AS7,Z,15.1,10.8,13.1,22,301
MERCEDES-BENZ,E 63 AMG S 4MATIC,MID-SIZE,5.5,8,AS7,Z,15.3,10.8,13.3,21,306
MERCEDES-BENZ,E 63 AMG S 4MATIC WAGON,STATION WAGON - MID-SIZE,5.5,8,AS7,Z,15.2,11.0,13.3,21,306
MERCEDES-BENZ,G 550,SUV - STANDARD,5.5,8,AS7,Z,19.9,16.1,18.2,16,419
MERCEDES-BENZ,G 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,20.0,16.6,18.5,15,426
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6,AS7,D,13.6,10.0,12.0,24,324
MERCEDES-BENZ,GL 450 4MATIC,SUV - STANDARD,3.0,6,AS7,Z,15.2,12.6,14.0,20,322
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,17.5,13.2,15.6,18,359
MERCEDES-BENZ,GL 63 AMG,SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17,375
MERCEDES-BENZ,ML 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,16.3,11.8,14.2,20,327
MERCEDES-BENZ,ML 63 AMG 4MATIC,SUV - STANDARD,5.5,8,AS7,Z,17.3,13.5,15.6,18,359
MERCEDES-BENZ,S 600,FULL-SIZE,6.0,12,AS7,Z,18.1,11.0,14.9,19,343
MERCEDES-BENZ,S 63 AMG 4MATIC,FULL-SIZE,5.5,8,AS7,Z,15.7,10.1,13.2,21,304
MERCEDES-BENZ,S 63 AMG COUPE,COMPACT,5.5,8,AS7,Z,15.7,10.1,13.2,21,304
MERCEDES-BENZ,S 65 AMG,FULL-SIZE,6.0,12,AS7,Z,18.5,11.8,15.5,18,357
MERCEDES-BENZ,S 65 AMG COUPE,COMPACT,6.0,12,AS7,Z,18.0,11.3,15.0,19,345
MERCEDES-BENZ,SL 65 AMG,TWO-SEATER,6.0,12,AS7,Z,16.7,11.2,14.2,20,327
MERCEDES-BENZ,SLS AMG GT COUPE,TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6,18,359
MERCEDES-BENZ,SLS AMG GT ROADSTER,TWO-SEATER,6.2,8,AM7,Z,18.1,12.6,15.6,18,359
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,A5,X,19.2,13.4,16.6,17,382
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,15.7,11.3,13.7,21,315
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,15.0,11.2,13.3,21,306
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,18.4,13.3,16.1,18,370
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,X,19.7,14.3,17.2,16,396
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,A5,X,16.0,12.0,14.2,20,327
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,M6,X,16.0,12.3,14.4,20,331
PORSCHE,911 GT3,TWO-SEATER,3.8,6,AM7,Z,16.0,11.5,14.0,20,322
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8,A8,Z,16.7,11.2,14.2,20,327
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.1,12.0,14.8,19,340
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,X,15.7,10.9,13.6,21,313
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.7,12.7,15.4,18,354
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,X,16.2,11.5,14.1,20,324
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18,370
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,AS8,Z,19.2,12.4,16.1,18,370
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20.9,12.7,17.2,16,396
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12,AS8,Z,20.7,12.9,17.2,16,396
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,AS8,Z,20.9,12.7,17.2,16,396
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,AS8,Z,20.7,12.9,17.2,16,396
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12,AS8,Z,18.7,11.8,15.6,18,359
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,X,18.8,14.0,16.6,17,382
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,4.0,6,M6,X,14.5,11.3,13.1,22,301
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.8,11.6,13.4,21,308
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,15.3,12.3,14.0,20,322
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,15.9,12.3,14.3,20,329
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,17.2,12.8,15.2,19,350
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,16.9,12.8,15.1,19,347
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,18.5,14.2,16.6,17,382
ASTON MARTIN,DB9 GT,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,365
ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Z,16.8,10.9,14.2,20,332
ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12,A8,Z,17.6,11.4,14.8,19,346
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,343
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,362
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,343
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,362
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,343
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,362
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,AM7,Z,19.5,12.8,16.5,17,390
AUDI,A8L QUATTRO,FULL-SIZE,6.3,12,AS8,Z,17.8,10.8,14.6,19,344
AUDI,RS 7 QUATTRO,MID-SIZE,4.0,8,AS8,Z,16.6,9.4,13.3,21,313
BENTLEY,CONTINENTAL GT,COMPACT,4.0,8,AS8,Z,16.1,9.4,13.1,22,307
BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS8,Z,18.9,11.2,15.4,18,360
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8,AS8,Z,17.7,10.3,14.4,20,337
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Z,19.6,11.7,16.0,18,375
BENTLEY,FLYING SPUR,MID-SIZE,4.0,8,AS8,Z,17.7,10.0,14.2,20,334
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Z,20.3,11.9,16.5,17,388
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,21.0,13.1,17.5,16,408
BMW,M5,MID-SIZE,4.4,8,AM7,Z,17.3,11.5,14.7,19,344
BMW,M5,MID-SIZE,4.4,8,M6,Z,16.1,10.9,13.7,21,321
BMW,M6,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,344
BMW,M6,COMPACT,4.4,8,M6,Z,16.1,10.9,13.7,21,321
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,344
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M6,Z,16.1,10.9,13.7,21,321
BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,344
BMW,M6 GRAN COUPE,COMPACT,4.4,8,M6,Z,16.1,10.9,13.7,21,321
BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,343
BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.7,11.4,13.8,20,322
BMW,X6 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,343
BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,AS8,Z,15.7,11.4,13.8,20,322
BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,15.8,10.6,13.4,21,315
BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,16.1,10.8,13.7,21,323
CADILLAC,CTS-V,MID-SIZE,6.2,8,AS8,Z,16.6,11.1,14.1,20,332
CADILLAC,ESCALADE 4WD,SUV - STANDARD,6.2,8,A8,Z,16.0,11.2,13.9,20,325
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,15.0,10.2,12.8,22,302
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,AS8,Z,17.7,10.2,14.3,20,335
CHEVROLET,CORVETTE Z06,TWO-SEATER,6.2,8,M7,Z,15.7,10.6,13.4,21,313
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,441
CHEVROLET,EXPRESS 3500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,23.0,16.0,19.8,14,465
CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.1,11.4,14.0,20,328
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A8,Z,16.3,11.6,14.2,20,332
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,E,20.3,15.3,18.1,16,301
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,306
CHEVROLET,SILVERADO eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.4,11.2,13.0,22,304
CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,304
